category_id,product_id
1,6
1,8
1,11
1,12
1,13
1,17
1,18
1,21
1,22
1,23
1,25
1,26
1,27
1,28
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,43
1,44
1,45
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,56
1,57
1,63
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,122
1,123
1,136
1,137
1,138
1,139
1,140
1,141
1,142
1,153
1,154
1,155
1,156
1,158
1,160
1,161
1,162
1,163
1,172
1,173
1,174
1,175
1,176
1,190
1,191
2,2
2,3
2,7
2,9
2,10
2,14
2,16
2,20
2,24
2,29
2,35
2,42
2,46
2,58
2,77
2,111
2,112
2,113
2,114
2,115
2,117
2,118
2,119
2,120
2,121
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,134
2,135
2,185
2,186
2,187
2,188
2,189
3,1
3,5
3,15
3,19
3,35
3,55
3,60
3,61
3,62
3,64
3,80
3,81
3,116
3,133
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,157
3,159
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,171
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
4,59
4,80
4,81
